Model,Mostra,Precisio
Logistic Regression OvO,1,0.8686965599673284
Logistic Regression OvO,2,0.8706912107924903
Logistic Regression OvO,3,0.8584196625363486
Logistic Regression OvO,4,0.8669057869636424
Logistic Regression OvO,5,0.8661796645232926
Logistic Regression OvO,6,0.8534366827807117
Logistic Regression OvO,7,0.8792681923529494
Logistic Regression OvO,8,0.9037033793240802
Logistic Regression OvO,9,0.8556466388212174
Logistic Regression OvO,10,0.8643082647976322
Logistic Regression OvR,1,0.865409358919308
Logistic Regression OvR,2,0.8720976714982198
Logistic Regression OvR,3,0.8609226455545884
Logistic Regression OvR,4,0.871320002159021
Logistic Regression OvR,5,0.8739152439155643
Logistic Regression OvR,6,0.8675087691268448
Logistic Regression OvR,7,0.8852888140004972
Logistic Regression OvR,8,0.8989106131963275
Logistic Regression OvR,9,0.8507097584568908
Logistic Regression OvR,10,0.8616050017264603
Decision Tree,1,0.8327935878944457
Decision Tree,2,0.8474654489736161
Decision Tree,3,0.8220982750645369
Decision Tree,4,0.8092500770466873
Decision Tree,5,0.8315520823699339
Decision Tree,6,0.8295874269369481
Decision Tree,7,0.8428871209887469
Decision Tree,8,0.8602290649739937
Decision Tree,9,0.8479282011380685
Decision Tree,10,0.826126383332718
Random Forest,1,0.8601071029777079
Random Forest,2,0.8616718619972948
Random Forest,3,0.8449921093457444
Random Forest,4,0.8464355536936182
Random Forest,5,0.8633617081262797
Random Forest,6,0.8529440006370218
Random Forest,7,0.88737769593529
Random Forest,8,0.8921674113898136
Random Forest,9,0.8458817857438344
Random Forest,10,0.8634782718615842
Gradient Boosting,1,0.883929601887871
Gradient Boosting,2,0.8764867650925066
Gradient Boosting,3,0.8753133528659053
Gradient Boosting,4,0.8873921460833971
Gradient Boosting,5,0.8736907041781254
Gradient Boosting,6,0.8860886042562307
Gradient Boosting,7,0.8981975323210089
Gradient Boosting,8,0.9121439081864448
Gradient Boosting,9,0.86695590225002
Gradient Boosting,10,0.8834293464539842
KNN,1,0.8432727936391297
KNN,2,0.8551065639842398
KNN,3,0.8323483031538066
KNN,4,0.8480497408016113
KNN,5,0.8409793745774218
KNN,6,0.8501073735771337
KNN,7,0.8476451605809722
KNN,8,0.873211106042663
KNN,9,0.8261141751877302
KNN,10,0.8325824779951679
XGBoost,1,0.8656316334603837
XGBoost,2,0.8610582949535922
XGBoost,3,0.8525959713824358
XGBoost,4,0.8503708580206276
XGBoost,5,0.861016336905665
XGBoost,6,0.8585939347658873
XGBoost,7,0.8827792221883607
XGBoost,8,0.8869413769294404
XGBoost,9,0.8531722294036306
XGBoost,10,0.8520615328793512
